Estacion,genero_x_mes,edad_x_mes,duraciones_x_mes,dias_x_mes,horas_x_mes,viajes_x_mes,retiros_x_mes,arribos_x_mes
1,"{'M': 11305.17, 'F': 4236.67, 'O': 177.67}","{'<20': 181.5, '20-30': 4719.0, '30-40': 6119.5, '40-50': 2841.83, '50-60': 1323.67, '60-70': 284.83, '70<': 249.33}","{'0-10': 6820.67, '10-20': 5727.33, '20-30': 2094.5, '30-45': 930.17, '45+': 147.0}","{'Monday': 2437.67, 'Tuesday': 2629.67, 'Wednesday': 2574.67, 'Thursday': 2595.17, 'Friday': 2452.83, 'Saturday': 1569.0, 'Sunday': 1460.67}","{0: 89.83, 1: 0.5, 2: 0.0, 3: 0.0, 4: 0.0, 5: 67.17, 6: 216.83, 7: 464.83, 8: 1096.17, 9: 1050.5, 10: 730.33, 11: 791.0, 12: 783.5, 13: 911.0, 14: 1152.17, 15: 1315.83, 16: 1132.17, 17: 1179.83, 18: 1246.17, 19: 1097.33, 20: 848.0, 21: 700.17, 22: 543.17, 23: 303.17}","{'2024-10': 17855, '2024-11': 16465, '2024-12': 14164, '2025-1': 15557, '2025-2': 14826, '2025-3': 15451}",9426.83,6931.33
2,"{'M': 4764.5, 'F': 1733.17, 'O': 83.5}","{'<20': 30.67, '20-30': 1990.0, '30-40': 2827.83, '40-50': 1195.67, '50-60': 399.33, '60-70': 110.0, '70<': 27.67}","{'0-10': 2134.17, '10-20': 2882.33, '20-30': 1013.83, '30-45': 477.67, '45+': 73.17}","{'Monday': 1020.17, 'Tuesday': 1110.67, 'Wednesday': 1114.17, 'Thursday': 1202.5, 'Friday': 1041.0, 'Saturday': 583.5, 'Sunday': 509.17}","{0: 63.17, 1: 2.5, 2: 0.33, 3: 0.0, 4: 0.0, 5: 35.67, 6: 96.83, 7: 188.83, 8: 629.5, 9: 524.17, 10: 380.33, 11: 335.17, 12: 322.0, 13: 392.83, 14: 438.83, 15: 478.5, 16: 445.0, 17: 516.33, 18: 462.83, 19: 411.0, 20: 302.17, 21: 224.17, 22: 183.17, 23: 147.83}","{'2024-10': 7277, '2024-11': 6991, '2024-12': 5913, '2025-1': 6445, '2025-2': 6441, '2025-3': 6420}",2232.5,2503.0
3,"{'M': 5133.17, 'F': 1948.0, 'O': 122.34}","{'<20': 140.0, '20-30': 3195.83, '30-40': 2451.83, '40-50': 858.33, '50-60': 346.33, '60-70': 153.83, '70<': 57.33}","{'0-10': 2733.0, '10-20': 2360.0, '20-30': 947.67, '30-45': 966.67, '45+': 196.17}","{'Monday': 1001.67, 'Tuesday': 1098.33, 'Wednesday': 1097.33, 'Thursday': 1173.0, 'Friday': 1129.67, 'Saturday': 879.0, 'Sunday': 824.5}","{0: 54.33, 1: 1.5, 2: 0.0, 3: 0.0, 4: 0.0, 5: 28.33, 6: 108.5, 7: 193.5, 8: 358.33, 9: 451.5, 10: 359.83, 11: 366.5, 12: 361.33, 13: 411.33, 14: 435.33, 15: 459.0, 16: 449.83, 17: 549.5, 18: 627.83, 19: 601.67, 20: 462.33, 21: 447.0, 22: 316.0, 23: 160.0}","{'2024-10': 7802, '2024-11': 7620, '2024-12': 7215, '2025-1': 6353, '2025-2': 6643, '2025-3': 7588}",4748.67,4741.17
4,"{'M': 6255.0, 'F': 2534.0, 'O': 85.33}","{'<20': 59.67, '20-30': 2939.67, '30-40': 3839.33, '40-50': 1376.17, '50-60': 469.67, '60-70': 167.83, '70<': 22.0}","{'0-10': 3164.0, '10-20': 3681.0, '20-30': 1336.83, '30-45': 579.33, '45+': 113.17}","{'Monday': 1285.0, 'Tuesday': 1467.5, 'Wednesday': 1393.67, 'Thursday': 1447.83, 'Friday': 1427.83, 'Saturday': 965.33, 'Sunday': 887.17}","{0: 67.5, 1: 0.83, 2: 0.0, 3: 0.0, 4: 0.0, 5: 53.17, 6: 212.33, 7: 419.67, 8: 597.17, 9: 450.67, 10: 412.0, 11: 397.5, 12: 436.83, 13: 555.83, 14: 670.83, 15: 665.0, 16: 658.5, 17: 738.33, 18: 644.33, 19: 552.67, 20: 511.17, 21: 338.17, 22: 287.67, 23: 204.17}","{'2024-10': 9799, '2024-11': 9041, '2024-12': 8217, '2025-1': 8646, '2025-2': 8132, '2025-3': 9411}",3265.83,3656.67
5,"{'M': 6823.0, 'F': 2592.5, 'O': 154.84}","{'<20': 77.5, '20-30': 3182.67, '30-40': 4070.33, '40-50': 1411.83, '50-60': 601.5, '60-70': 207.83, '70<': 18.67}","{'0-10': 3037.0, '10-20': 4302.5, '20-30': 1475.17, '30-45': 644.67, '45+': 111.0}","{'Monday': 1410.33, 'Tuesday': 1581.5, 'Wednesday': 1571.33, 'Thursday': 1641.17, 'Friday': 1592.83, 'Saturday': 981.5, 'Sunday': 791.67}","{0: 55.17, 1: 1.0, 2: 0.33, 3: 0.17, 4: 0.0, 5: 32.0, 6: 224.83, 7: 468.67, 8: 753.33, 9: 654.67, 10: 505.83, 11: 461.67, 12: 444.5, 13: 506.67, 14: 655.0, 15: 662.83, 16: 630.5, 17: 811.0, 18: 799.33, 19: 660.17, 20: 462.0, 21: 327.5, 22: 257.5, 23: 195.67}","{'2024-10': 10805, '2024-11': 10180, '2024-12': 8995, '2025-1': 9755, '2025-2': 8760, '2025-3': 8927}",1566.17,1552.67
6,"{'M': 6603.66, 'F': 2746.5, 'O': 139.66}","{'<20': 101.33, '20-30': 3068.67, '30-40': 3939.33, '40-50': 1600.67, '50-60': 613.0, '60-70': 147.5, '70<': 19.33}","{'0-10': 3481.83, '10-20': 3832.0, '20-30': 1382.67, '30-45': 674.0, '45+': 119.33}","{'Monday': 1373.0, 'Tuesday': 1553.17, 'Wednesday': 1585.67, 'Thursday': 1662.67, 'Friday': 1569.5, 'Saturday': 959.0, 'Sunday': 786.83}","{0: 62.33, 1: 0.33, 2: 0.0, 3: 0.17, 4: 0.0, 5: 79.67, 6: 196.0, 7: 522.0, 8: 713.33, 9: 643.5, 10: 507.0, 11: 448.83, 12: 467.5, 13: 567.83, 14: 757.67, 15: 710.67, 16: 685.0, 17: 634.5, 18: 670.0, 19: 631.0, 20: 479.83, 21: 326.33, 22: 222.5, 23: 163.83}","{'2024-10': 10740, '2024-11': 10120, '2024-12': 8955, '2025-1': 9441, '2025-2': 8680, '2025-3': 9003}",3815.67,4016.0
7,"{'M': 9717.84, 'F': 3511.84, 'O': 256.0}","{'<20': 113.17, '20-30': 4921.0, '30-40': 5138.83, '40-50': 2296.33, '50-60': 731.83, '60-70': 215.0, '70<': 69.5}","{'0-10': 3657.67, '10-20': 6254.0, '20-30': 2292.0, '30-45': 1087.33, '45+': 194.67}","{'Monday': 2003.17, 'Tuesday': 2241.17, 'Wednesday': 2243.33, 'Thursday': 2355.67, 'Friday': 2208.0, 'Saturday': 1317.83, 'Sunday': 1116.5}","{0: 49.33, 1: 0.33, 2: 0.0, 3: 0.0, 4: 0.17, 5: 170.0, 6: 359.17, 7: 645.17, 8: 708.5, 9: 699.0, 10: 611.33, 11: 646.5, 12: 742.83, 13: 846.17, 14: 1132.33, 15: 1183.83, 16: 1090.0, 17: 1222.5, 18: 966.67, 19: 865.33, 20: 651.83, 21: 413.83, 22: 308.17, 23: 172.67}","{'2024-10': 14487, '2024-11': 13804, '2024-12': 12698, '2025-1': 13393, '2025-2': 12741, '2025-3': 13791}",5151.33,5559.0
8,"{'M': 4127.5, 'F': 1700.17, 'O': 73.17}","{'<20': 84.67, '20-30': 1942.0, '30-40': 2170.0, '40-50': 1040.67, '50-60': 506.0, '60-70': 133.5, '70<': 24.0}","{'0-10': 2216.33, '10-20': 1954.83, '20-30': 863.33, '30-45': 719.0, '45+': 147.33}","{'Monday': 819.33, 'Tuesday': 889.17, 'Wednesday': 929.5, 'Thursday': 944.33, 'Friday': 932.83, 'Saturday': 686.67, 'Sunday': 699.0}","{0: 28.33, 1: 0.33, 2: 0.0, 3: 0.0, 4: 0.0, 5: 31.33, 6: 107.17, 7: 209.0, 8: 475.17, 9: 369.83, 10: 263.17, 11: 299.0, 12: 309.83, 13: 342.0, 14: 432.0, 15: 455.5, 16: 395.33, 17: 452.67, 18: 460.0, 19: 371.17, 20: 328.0, 21: 255.33, 22: 197.33, 23: 118.33}","{'2024-10': 7093, '2024-11': 6254, '2024-12': 5561, '2025-1': 5652, '2025-2': 5214, '2025-3': 5631}",3253.67,3327.5
9,"{'M': 4563.16, 'F': 1737.5, 'O': 68.66}","{'<20': 81.83, '20-30': 2280.67, '30-40': 2524.67, '40-50': 888.67, '50-60': 406.0, '60-70': 169.17, '70<': 18.33}","{'0-10': 2236.5, '10-20': 2648.33, '20-30': 960.17, '30-45': 438.33, '45+': 86.0}","{'Monday': 923.67, 'Tuesday': 1025.0, 'Wednesday': 1076.0, 'Thursday': 1064.33, 'Friday': 1028.83, 'Saturday': 654.33, 'Sunday': 597.17}","{0: 36.33, 1: 0.83, 2: 0.0, 3: 0.0, 4: 0.0, 5: 51.5, 6: 206.67, 7: 438.0, 8: 491.67, 9: 418.17, 10: 314.83, 11: 316.0, 12: 355.17, 13: 405.17, 14: 504.17, 15: 487.17, 16: 437.5, 17: 400.83, 18: 400.67, 19: 338.0, 20: 255.0, 21: 230.67, 22: 159.0, 23: 122.0}","{'2024-10': 7188, '2024-11': 6489, '2024-12': 5949, '2025-1': 6351, '2025-2': 5966, '2025-3': 6273}",7353.67,8054.5
10,"{'M': 8179.17, 'F': 3156.17, 'O': 204.17}","{'<20': 122.5, '20-30': 4358.17, '30-40': 4238.67, '40-50': 1731.17, '50-60': 781.5, '60-70': 252.5, '70<': 55.0}","{'0-10': 4994.67, '10-20': 3652.0, '20-30': 1479.0, '30-45': 1129.0, '45+': 284.83}","{'Monday': 1561.83, 'Tuesday': 1767.83, 'Wednesday': 1764.67, 'Thursday': 1830.17, 'Friday': 1746.0, 'Saturday': 1361.83, 'Sunday': 1507.17}","{0: 37.83, 1: 1.0, 2: 0.17, 3: 0.0, 4: 0.0, 5: 121.5, 6: 376.17, 7: 640.67, 8: 850.67, 9: 714.33, 10: 638.83, 11: 679.5, 12: 696.33, 13: 743.83, 14: 814.5, 15: 761.17, 16: 633.5, 17: 677.83, 18: 826.5, 19: 730.33, 20: 630.83, 21: 494.67, 22: 323.83, 23: 145.5}","{'2024-10': 13159, '2024-11': 11712, '2024-12': 11144, '2025-1': 11042, '2025-2': 11035, '2025-3': 11145}",2510.5,2401.0
