sistema;num_cicloe;calle_prin;calle_secu;colonia;alcaldia;latitud;longitud;sitio_de_e;estatus
Ecobici;1;Rio Sena;Rio Balsas;Cuauhtemoc;Cuauhtemoc;194.335.895;-991.678.193;Arroyo;Instalada
Ecobici;2;Rio Guadalquivir;Rio Nazas;Cuauhtemoc;Cuauhtemoc;1.943.062.276;-9.917.123.066;Arroyo;Instalada
Ecobici;3;Av. Paseo de la Reforma;Av. Insurgentes;Tabacalera;Cuauhtemoc;1.943.163;-99.158.547;Banqueta;Instalada
Ecobici;4;Rio  Nilo;Rio Panuco;Cuauhtemoc;Cuauhtemoc;19.428.491;-99.171.693;Arroyo;Instalada
Ecobici;5;Rio Panuco;Rio Tiber;Cuauhtemoc;Cuauhtemoc;19.429.804;-99.169.451;Arroyo;Instalada
Ecobici;6;Rio Panuco;Rio Sena;Cuauhtemoc;Cuauhtemoc;19.430.963;-99.166.986;Arroyo;Instalada
Ecobici;7;Rio  Elba;Rio Lerma;Cuauhtemoc;Cuauhtemoc;19.425.355;-9.917.515;Arroyo;Instalada
Ecobici;8;Av. Paseo de la Reforma;General Prim;Tabacalera;Cuauhtemoc;19.431.256;-99.158.153;Banqueta;Instalada
Ecobici;9;Rio Guadalquivir;Rio Lerma;Cuauhtemoc;Cuauhtemoc;19.428.184;-99.170.013;Arroyo;Instalada
Ecobici;10;Av. Paseo de la Reforma;Ramirez;Tabacalera;Cuauhtemoc;19.433.431;-99.155.142;Banqueta;Instalada
Ecobici;11;Rio Amazonas;Rio Lerma;Cuauhtemoc;Cuauhtemoc;19.431.192;-99.163.546;Arroyo;Instalada
Ecobici;12;Rio Lerma;Calz. Manuel Villalongin;Cuauhtemoc;Cuauhtemoc;19.432.223;-99.161.686;Arroyo;Instalada
Ecobici;13;Av. Paseo de la Reforma;Rio Mississippi;Cuauhtemoc;Cuauhtemoc;19.424.941;-9.917.233;Banqueta;Instalada
Ecobici;14;Av. Paseo de la Reforma;Rio de la Plata;Cuauhtemoc;Cuauhtemoc;1.942.454;-99.173.247;Banqueta;Instalada
Ecobici;15;Av. Paseo de la Reforma;Rio Mississippi;Cuauhtemoc;Cuauhtemoc;19.425.597;-99.171.409;Banqueta;Instalada
Ecobici;16;Av. Paseo de la Reforma;Rio Tiber;Cuauhtemoc;Cuauhtemoc;194.267.528;-9.916.861.944;Banqueta;Instalada
Ecobici;17;Av. Paseo de la Reforma;Rio Tiber;Cuauhtemoc;Cuauhtemoc;19.427.553;-99.167.396;Banqueta;Instalada
Ecobici;18;Av. Paseo de la Reforma;Rio Rhin;Cuauhtemoc;Cuauhtemoc;19.428.802;-99.164.381;Banqueta;Instalada
Ecobici;19;Av. Paseo de la Reforma;Rio Rhin;Cuauhtemoc;Cuauhtemoc;19.429.453;-9.916.283;Banqueta;Instalada
Ecobici;20;Av. Paseo de la Reforma;Rio Tamesis;Cuauhtemoc;Cuauhtemoc;19.430.907;-99.160.148;Banqueta;Instalada
Ecobici;21;Av. Paseo de la Reforma;Dublin;Juarez;Cuauhtemoc;19.424.784;-99.172.119;Banqueta;Instalada
Ecobici;22;Av. Paseo de la Reforma;Manchester;Juarez;Cuauhtemoc;19.424.784;-99.172.119;Banqueta;Instalada
Ecobici;23;Av. Paseo de la Reforma;Praga;Juarez;Cuauhtemoc;1.942.528;-99.171.099;Banqueta;Instalada
Ecobici;24;Av. Paseo de la Reforma;Varsovia;Juarez;Cuauhtemoc;19.426.614;-99.168.078;Banqueta;Instalada
