Genero,Edad,Bici,Estacion salida,Estacion llegada,Duracion viaje en minutos
F,29.0,7682701,025,008,7.53
F,31.0,2329670,632,635,5.85
M,36.0,7005978,367,439,12.05
F,28.0,7274376,322,028,27.73
M,23.0,5145545,297,202,33.58
M,35.0,2684900,397,404,8.75
F,20.0,8883621,178,063,7.63
M,46.0,6385702,200,021,12.33
F,49.0,5192539,152,164,2.62
F,43.0,8855926,009,002,15.55
M,23.0,6558431,541,553,5.77
M,36.0,7175284,692,668,20.93
M,46.0,4721155,551,265,7.5
F,43.0,3465911,286,386,22.4
F,30.0,3788213,061,002,15.47
M,46.0,4992624,380,347,8.48
M,24.0,3375813,018,566,15.0
M,35.0,5717962,007,192-193,13.72
M,24.0,8347767,638,643,2.4
F,24.0,8638819,129,107-108,12.65
M,26.0,8917916,386,182,18.92
F,39.0,5692496,115,048,10.43
M,26.0,6894653,053,037,4.3
M,30.0,4310827,019,233,24.18
F,28.0,8736266,621,624,7.23
F,37.0,5144829,466,271-272,18.73
M,29.0,4996070,485,538,12.1
M,19.0,3901626,242,497,13.53
F,35.0,7461650,405,625,10.68
M,29.0,3706389,375,628,2.8
M,24.0,4517314,059,024,9.15
M,36.0,4911160,029,055,13.75
M,44.0,3129319,077,155,17.9
M,26.0,7974850,356,394,5.47
M,30.0,3026184,429,377,9.47
M,28.0,2929420,392,313,14.25
F,23.0,5914775,058,036,4.43
M,27.0,2902153,241,523,32.85
M,49.0,5675087,303,286,30.07
M,33.0,4618344,203,205,6.48
M,27.0,3500832,200,372,38.08
M,25.0,7063530,398,416,8.25
M,35.0,4891628,300,424,14.97
M,30.0,8727406,565,349,38.8
M,49.0,4328944,358,283,12.8
M,28.0,6242093,145,585,16.77
F,28.0,8667008,301,299,12.08
M,30.0,2406536,394,283,17.12
M,39.0,4711503,405,381,13.77
M,30.0,6328447,177,246,18.58
M,22.0,5242722,046,365,32.78
M,19.0,6615900,308,066,10.92
M,32.0,4275772,295,597,7.65
M,40.0,3615481,464,119,28.57
M,51.0,5386628,054,060,4.97
M,30.0,4160719,559,104,6.07
F,30.0,7709520,459,481,26.22
M,28.0,8112526,390-391,326,11.4
M,23.0,7659048,086,015,10.37
M,26.0,6761464,235-236,225,11.93
M,34.0,4741419,147,084,8.5
M,26.0,3083318,259,271-272,3.85
M,31.0,5692256,535,525,18.85
M,44.0,5590823,393,395,2.22
M,47.0,7285257,477,477,2.75
F,23.0,3911831,210,042,27.48
M,44.0,4086674,337,622,11.53
M,31.0,3000742,175,620,22.6
M,27.0,4180972,007,012,7.47
M,25.0,7034192,142,635,28.93
M,39.0,4871075,412,441,12.7
F,38.0,8319279,086,271-272,28.42
M,31.0,8869067,229,113,25.6
M,24.0,4699252,027,052,10.13
F,28.0,5067012,201,217,4.02
F,31.0,6206783,210,197,12.85
M,23.0,3325347,711,107-108,25.83
M,37.0,7884414,037,064,6.98
M,36.0,7855570,264-275,545,11.13
F,38.0,2311322,182,360,19.8
F,33.0,8427379,651,649,4.77
O,31.0,7836521,570,121,10.65
M,29.0,7151178,060,067,2.87
F,26.0,2610038,223,134,28.87
F,31.0,3963188,070,195,23.65
F,23.0,5337373,498,548,14.03
M,23.0,8767667,548,014,18.92
F,25.0,7490683,576,155,9.6
M,39.0,2307486,198,010,37.88
M,39.0,5431457,217,458,20.47
F,44.0,3627130,402,625,6.42
M,53.0,3251089,034,030,15.4
M,25.0,2268522,448,270,13.45
M,37.0,6189724,164,149,11.22
F,28.0,3996402,146,028,13.45
F,32.0,5954144,114,004,27.72
M,35.0,6577621,059,080,5.83
O,22.0,3198686,192-193,024,10.95
M,26.0,3316841,237-238,046,38.82
M,34.0,6547038,208,244,7.52
M,55.0,7850423,443,656,4.1
M,27.0,6023279,438,668,17.83
O,30.0,7212731,080,283,8.9
M,29.0,4741419,014,458,19.03
F,35.0,8126864,148,068,32.3
M,44.0,6607345,107-108,025,9.42
O,33.0,7871973,142,142,13.7
M,24.0,7337462,505,217,12.68
M,41.0,5818281,384,035,29.57
M,26.0,4745980,662,682,13.37
M,40.0,4529020,129,048,16.6
M,24.0,7681166,497,020,14.93
F,32.0,4434080,011,004,5.47
F,32.0,5715487,046,049,5.62
M,32.0,8757767,039,038,2.98
F,33.0,6809958,012,195,14.43
M,47.0,3335981,195,001,27.53
M,19.0,6321954,041,003,5.45
M,37.0,7848369,378,357,6.1
M,30.0,2746360,080,341,13.73
M,32.0,6922850,072,077,2.78
O,36.0,4656245,633,636,4.32
M,23.0,2081479,465,197,13.2
M,34.0,2682136,405,613,13.9
M,35.0,7856495,029,114,4.97
F,35.0,8692618,551,476,25.28
F,27.0,6681720,191,053,8.13
M,31.0,5518303,356,417,11.52
F,29.0,3731494,098,082,11.33
M,28.0,7066665,555,493,7.37
M,36.0,2362267,107-108,271-272,10.37
M,21.0,5886346,107-108,116,5.17
M,22.0,8407108,566,566,28.27
M,20.0,8875494,451,351,36.03
M,25.0,4626164,250,504,23.03
M,31.0,2820272,237-238,605,31.4
M,42.0,3197753,415,292,15.47
O,23.0,4399648,643,638,4.45
M,45.0,3787082,054,566,11.77
F,23.0,4023263,129,025,29.8
M,30.0,5076708,018,082,15.17
M,40.0,8063216,099,226,25.7
M,39.0,3193372,370,398,9.67
M,35.0,3568086,216,206,5.0
M,53.0,4630224,675,695,17.08
F,36.0,6649859,043,046,25.52
F,22.0,7032915,337,338,33.58
M,32.0,2329894,564,560,12.22
M,53.0,5227277,623,309,19.13
M,42.0,3009925,540,551,13.55
F,31.0,6827752,135,050,12.58
M,38.0,6522312,134,153,11.58
F,27.0,6816839,597,038,23.62
M,20.0,2145159,072,044,3.58
F,37.0,4281416,357,398,7.0
M,48.0,7038375,402,621,11.47
M,28.0,8422420,464,492,15.03
M,42.0,7161920,585,336,25.65
M,35.0,3672193,590,618,11.87
M,35.0,5142229,660,697,10.03
F,30.0,7716855,287,310,5.47
F,29.0,4256087,493,501,6.08
M,32.0,7916760,325,302,3.58
F,34.0,4857520,271-272,505,19.02
M,46.0,7288376,228,234,4.78
M,30.0,5660865,041,216,30.68
M,35.0,2682136,096,533,33.87
F,30.0,2303428,018,546,15.03
M,39.0,2173185,616,595,12.63
M,25.0,4740635,248,225,5.52
F,29.0,3283272,402,322,6.35
F,36.0,3106630,010,014,12.08
M,25.0,6301758,276,576,12.63
M,44.0,8899759,158-159,010,14.1
M,48.0,8332827,372,420,8.63
F,30.0,3702214,054,576,17.77
F,31.0,8399966,389,038,25.33
M,35.0,7781081,271-272,540,6.45
F,32.0,6294284,254,554,16.45
M,20.0,2619104,211,474,12.23
M,34.0,3465911,257,542,13.48
F,29.0,4424750,171,068,6.7
M,35.0,6277164,681,662,14.35
M,33.0,8013849,302,298,8.38
M,21.0,2945319,123,560,5.08
M,22.0,5137450,491,497,5.47
M,37.0,7988512,519,530,5.88
M,47.0,3302940,584,575,4.03
M,26.0,7475841,079,594,20.55
M,23.0,3102837,212,207,2.95
F,35.0,2135663,222,116,27.13
F,32.0,3772522,456,192-193,10.6
M,43.0,7632235,387,396,8.07
M,45.0,5914338,052,097,8.35
M,26.0,7920309,022,258,9.67
M,32.0,4093415,449,351,31.9
M,38.0,2705200,077,057,4.82
F,37.0,7624422,564,126,7.8
F,30.0,4996203,146,162,5.05
F,28.0,6685929,057,038,5.88
M,34.0,5947726,064,284,7.3
M,41.0,3795499,037,069,10.52
M,35.0,8232506,165,195,19.3
M,33.0,2746576,277,277,36.97
F,25.0,4459301,028,031,10.35
M,53.0,2522605,115,115,14.95
F,25.0,2684900,205,217,2.07
