Estacion,Grado_entrada,Grado_salida,Betweenness,Comunidad
262,168,78,0.035894639036761065,0
13,67,58,0.02410755302615481,0
63,61,65,0.020465474631641414,1
367,26,29,0.01785493126814785,3
139,37,39,0.016368061987582193,1
27,59,43,0.014714768250524878,0
26,59,60,0.013713185930785774,0
46,30,45,0.01349979614244229,1
178,34,43,0.013476038754549266,1
171,28,27,0.01331644004461409,1
559,31,43,0.013056711244897027,3
362,21,21,0.012840367314569622,3
17,52,52,0.012823518106087572,0
6,33,41,0.01267582277793907,0
289,34,26,0.012494175905738213,3
