Estacion,Grado_entrada,Grado_salida,Betweenness,Comunidad
262,168,78,0.035894639036761065,0
105,76,59,0.011503891951741323,0
13,67,58,0.02410755302615481,0
513,64,60,0.009661900608952284,2
63,61,65,0.020465474631641414,1
27,59,43,0.014714768250524878,0
26,59,60,0.013713185930785774,0
40,54,33,0.010179664414530068,0
17,52,52,0.012823518106087572,0
155,51,51,0.011220636230620322,1
259,51,27,0.00949005768761465,0
520,49,51,0.011660710765081331,2
42,46,31,0.006683648186876027,0
37,46,40,0.011722027296180942,1
28,46,38,0.008680913899661264,0
